site_id,local_site_name,address,latitude,longitude,date,parameter,units,sample_measurement,aqi
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-11,Ozone,Parts per million,0.024706,29.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-12,Ozone,Parts per million,0.032235,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-13,Ozone,Parts per million,0.028,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-14,Ozone,Parts per million,0.014353,19.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-15,Ozone,Parts per million,0.025529,29.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-16,Ozone,Parts per million,0.030412,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-17,Ozone,Parts per million,0.024235,27.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-18,Ozone,Parts per million,0.026706,28.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-19,Ozone,Parts per million,0.028647,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-20,Ozone,Parts per million,0.027706,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-21,Ozone,Parts per million,0.033235,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-22,Ozone,Parts per million,0.033941,42.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-23,Ozone,Parts per million,0.043813,71.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-24,Ozone,Parts per million,0.040882,51.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-25,Ozone,Parts per million,0.049529,71.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-26,Ozone,Parts per million,0.033529,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-27,Ozone,Parts per million,0.030294,33.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-28,Ozone,Parts per million,0.026118,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-29,Ozone,Parts per million,0.015647,20.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-09-30,Ozone,Parts per million,0.023941,27.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-01,Ozone,Parts per million,0.018824,22.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-02,Ozone,Parts per million,0.022,26.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-03,Ozone,Parts per million,0.025824,29.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-04,Ozone,Parts per million,0.024118,23.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-05,Ozone,Parts per million,0.021412,27.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-06,Ozone,Parts per million,0.033059,33.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-07,Ozone,Parts per million,0.033529,39.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-08,Ozone,Parts per million,0.023118,29.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-09,Ozone,Parts per million,0.0428,44.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-10,Ozone,Parts per million,0.030235,34.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-11,Ozone,Parts per million,0.020706,21.0
